price_bin_q,n,rmse_log,mean_resid_log,rmse_orig,mean_resid_orig
"(10.459000000000001, 11.728]",295,0.16833698213016493,-0.0584277198624947,15383.680781189967,-5566.377385990376
"(12.346, 13.534]",289,0.10713481756625243,0.027134781014761078,38535.255314784605,9250.36043759082
"(11.728, 11.898]",294,0.09899265578817808,0.00015625714979030164,15272.751431579212,-686.8889177329421
"(11.898, 12.096]",286,0.08271272410164417,0.01222323114608542,13097.161907130072,1442.7677288933066
"(12.096, 12.346]",294,0.07557531671490605,0.004090615719229508,15115.512388015222,410.2781704746393
